sentence_number	batch_bertscore	prompt_bertscore	temp_bertscore	bertscore_f1	batch_chrf	prompt_chrf	temp_chrf	CHRF	batch_comet	prompt_comet	temp_comet	COMET
74	1.0	prompt3	0.15	0.899896502494812	1.0	prompt3	0.15	54.74121863135861	1.0	prompt3	0.15	0.9565933346748352
75	5.0	prompt0	0.75	0.8888984322547913	5.0	prompt0	0.75	43.11411342598624	5.0	prompt0	0.75	0.9162052273750304
76	1.0	prompt4	0.6	1.0	1.0	prompt4	0.6	100.0	5.0	prompt4	0.75	0.989773452281952
77	1.0	prompt4	0.6	0.8849140405654907	1.0	prompt4	0.6	69.78557641800109	1.0	prompt4	0.6	0.9127894043922424
78	1.0	prompt3	0.15	1.0	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9943715929985046
79	2.0	prompt1	0.75	0.9370238780975342	2.0	prompt1	0.75	77.45455952386298	2.0	prompt2	0.6	0.9134601950645448
80	3.0	prompt4	0.75	0.8955869078636169	3.0	prompt4	0.75	68.89891261858226	3.0	prompt4	0.75	0.8338149785995483
81	5.0	prompt4	0.75	0.8202390670776367	1.0	prompt2	0.75	44.023626889412085	5.0	prompt4	0.75	0.7397650480270386
82	1.0	prompt3	0.15	0.7980990409851074	1.0	prompt0	0.75	47.9674153694421	1.0	prompt3	0.15	0.799564003944397
83	1.0	prompt3	0.15	1.0	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9820341467857361
84	1.0	prompt3	0.15	0.9999999403953552	1.0	prompt3	0.15	100.0	5.0	prompt3	0.45	0.984021544456482
85	1.0	prompt3	0.15	0.9999997615814208	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9859870076179504
86	1.0	prompt3	0.15	1.0000001192092896	1.0	prompt3	0.15	100.0	5.0	prompt3	0.45	0.9899653792381288
87	1.0	prompt4	0.6	0.8849140405654907	1.0	prompt4	0.6	69.78557641800109	1.0	prompt4	0.6	0.9127894043922424
88	1.0	prompt3	0.15	1.0	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9943715929985046
89	1.0	prompt3	0.15	0.827176570892334	1.0	prompt3	0.15	69.112034670537	1.0	prompt3	0.15	0.8897587656974792
90	3.0	prompt4	0.75	0.8955869078636169	3.0	prompt4	0.75	68.89891261858226	3.0	prompt4	0.75	0.8338149785995483
